Timestamp,Prediction,Probability
2025-04-15 22:54:24,Tomat Masih Segar,0.7354
2025-04-15 22:58:33,Tomat Masih Segar,0.8397
2025-04-15 22:58:34,Tomat Masih Segar,0.8262
2025-04-15 22:58:34,Tomat Masih Segar,0.7924
2025-04-15 22:58:35,Tomat Masih Segar,0.7759
2025-04-15 22:58:35,Tomat Masih Segar,0.8011
2025-04-15 22:58:36,Tomat Masih Segar,0.8251
2025-04-15 22:58:36,Tomat Masih Segar,0.7706
2025-04-15 22:58:36,Tomat Masih Segar,0.7055
2025-04-15 22:58:37,Tomat Masih Segar,0.7561
2025-04-15 22:58:37,Tomat Masih Segar,0.8431
2025-04-15 22:58:38,Tomat Masih Segar,0.8187
2025-04-15 22:58:38,Tomat Masih Segar,0.8881
2025-04-15 22:58:38,Tomat Masih Segar,0.8538
2025-04-15 22:58:39,Tomat Masih Segar,0.8392
2025-04-15 22:58:39,Tomat Masih Segar,0.8791
2025-04-15 22:58:40,Tomat Masih Segar,0.9101
2025-04-15 22:58:40,Tomat Masih Segar,0.9461
2025-04-15 22:58:41,Tomat Masih Segar,0.9579
2025-04-15 22:58:41,Tomat Masih Segar,0.9556
2025-04-15 22:58:41,Tomat Masih Segar,0.9362
2025-04-15 22:58:42,Tomat Masih Segar,0.7404
2025-04-15 22:58:42,Tomat Masih Segar,0.9164
2025-04-15 22:58:43,Tomat Masih Segar,0.9622
2025-04-15 22:58:44,Tomat Masih Segar,0.9055
2025-04-15 22:58:44,Tomat Masih Segar,0.9067
2025-04-15 22:58:44,Tomat Masih Segar,0.9118
2025-04-15 22:58:45,Tomat Masih Segar,0.9594
2025-04-15 22:58:45,Tomat Masih Segar,0.9659
2025-04-15 22:58:46,Tomat Sudah Membusuk,0.9722
2025-04-15 22:58:47,Tomat Masih Segar,0.9589
2025-04-15 22:58:47,Tomat Masih Segar,0.9625
2025-04-15 22:58:48,Tomat Masih Segar,0.9491
2025-04-15 22:58:48,Tomat Masih Segar,0.9186
2025-04-15 22:58:49,Tomat Masih Segar,0.9528
2025-04-15 22:58:49,Tomat Masih Segar,0.9515
2025-04-15 22:58:49,Tomat Masih Segar,0.9443
2025-04-15 22:58:50,Tomat Masih Segar,0.9428
2025-04-15 22:58:50,Tomat Masih Segar,0.9194
2025-04-15 22:58:51,Tomat Masih Segar,0.9427
2025-04-15 22:58:51,Tomat Masih Segar,0.9285
2025-04-15 22:58:52,Tomat Masih Segar,0.9458
2025-04-15 22:58:52,Tomat Masih Segar,0.9041
2025-04-15 22:58:53,Tomat Masih Segar,0.9360
2025-04-15 22:58:53,Tomat Masih Segar,0.9247
2025-04-15 22:58:54,Tomat Masih Segar,0.9179
2025-04-15 22:58:54,Tomat Masih Segar,0.9302
2025-04-15 22:58:54,Tomat Masih Segar,0.9360
2025-04-15 22:58:55,Tomat Masih Segar,0.9599
2025-04-15 22:58:55,Tomat Masih Segar,0.9519
2025-04-15 22:58:56,Tomat Masih Segar,0.9187
2025-04-15 22:58:57,Tomat Masih Segar,0.9355
2025-04-15 22:58:57,Tomat Masih Segar,0.9466
2025-04-15 22:58:57,Tomat Masih Segar,0.9617
2025-04-15 22:58:58,Tomat Masih Segar,0.9433
2025-04-15 22:58:58,Tomat Masih Segar,0.9456
2025-04-15 22:58:59,Tomat Masih Segar,0.9612
2025-04-15 22:59:00,Tomat Masih Segar,0.9510
2025-04-15 22:59:01,Tomat Masih Segar,0.9402
2025-04-15 22:59:01,Tomat Masih Segar,0.9207
2025-04-15 22:59:02,Tomat Masih Segar,0.9359
2025-04-15 22:59:02,Tomat Masih Segar,0.9288
2025-04-15 22:59:03,Tomat Masih Segar,0.9495
2025-04-15 22:59:03,Tomat Masih Segar,0.9245
2025-04-15 22:59:04,Tomat Masih Segar,0.9519
2025-04-15 22:59:04,Tomat Masih Segar,0.9153
2025-04-15 22:59:05,Tomat Masih Segar,0.9497
2025-04-15 22:59:05,Tomat Masih Segar,0.9517
2025-04-15 22:59:06,Tomat Masih Segar,0.9676
2025-04-15 22:59:06,Tomat Masih Segar,0.9544
